token,count,candidate_1_name,candidate_1_icd,candidate_1_matchtype,candidate_2_name,candidate_2_icd,candidate_2_matchtype,candidate_3_name,candidate_3_icd,candidate_3_matchtype,candidate_4_name,candidate_4_icd,candidate_4_matchtype,candidate_5_name,candidate_5_icd,candidate_5_matchtype,llm_suggested_cause,llm_suggested_icd,notes
Endocrine and Metabolic: Disorder of thyroid,131,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary atherosclerosis of native coronary artery,115,,,,,,,,,,,,,,,,,,
Heart hypertrophy,103,,,,,,,,,,,,,,,,,,
Other specified pulmonary heart diseases,65,,,,,,,,,,,,,,,,,,
Nonrheumatic aortic valve regurgitation,60,,,,,,,,,,,,,,,,,,
Family history of cardiac disorder,47,,,,,,,,,,,,,,,,,,
Other: Aneurysm of aortic arch without rupture (CMS-hcc),38,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary artery disease involving autologous vein coronary bypass graft without angina pectoris,37,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerosis of native coronary artery without angina pectoris,34,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Family history of ischemic heart disease,32,,,,,,,,,,,,,,,,,,
Endocrine and Metabolic: Exercise counseling,32,,,,,,,,,,,,,,,,,,
Coronary atherosclerosis of autologous vein bypass graft without angina,31,,,,,,,,,,,,,,,,,,
FH: heart disease,29,,,,,,,,,,,,,,,,,,
Elevated blood pressure reading without diagnosis of hypertension,27,,,,,,,,,,,,,,,,,,
Nonrheumatic tricuspid (valve) insufficiency,27,,,,,,,,,,,,,,,,,,
Symptoms and Signs: Light-headedness,25,,,,,,,,,,,,,,,,,,
Other: Other supraventricular tachycardia (HHS-HCC),24,,,,,,,,,,,,,,,,,,
Benign hypertensive heart disease without heart failure,23,,,,,,,,,,,,,,,,,,
Dizziness and giddiness,19,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Encounter for pre-operative cardiovascular clearance,19,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerosis of CABG w,18,,,,,,,,,,,,,,,,,,
Screening for ischemic heart disease,16,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary artery disease involving native heart without angina pectoris,16,,,,,,,,,,,,,,,,,,
Pulmonary and Pneumonias: Solitary pulmonary nodule,16,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Right bundle branch block,15,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Nonrheumatic aortic (valve) stenosis,14,,,,,,,,,,,,,,,,,,
Encounter for screening for cardiovascular disorders,14,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Arteriosclerosis of coronary artery bypass graft,13,,,,,,,,,,,,,,,,,,
Repeated falls,13,,,,,,,,,,,,,,,,,,
Pulmonary and Pneumonias: Solitary lung nodule,13,,,,,,,,,,,,,,,,,,
Atherosclerosis of native artery of both lower extremities with intermittent claudication (CMS-hcc),13,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerotic heart disease,13,,,,,,,,,,,,,,,,,,
Family history of ischemic heart disease and other diseases of the circulatory system,12,,,,,,,,,,,,,,,,,,
Unspecified atherosclerosis of native arteries of extremities,12,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Pain in leg,12,,,,,,,,,,,,,,,,,,
Obstructive sleep apnea (adult) (pediatric),12,,,,,,,,,,,,,,,,,,
Symptoms and Signs: Vasovagal attack,12,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Nonrheumatic mitral (valve) insufficiency,12,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerosis of native coronary artery of native heart,12,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: Deep vein thrombosis (DVT) of proximal lower extremity,12,,,,,,,,,,,,,,,,,,
Peripheral arterial occlusive disease (CMS-hcc),12,,,,,,,,,,,,,,,,,,
Eye: Visual disturbance,11,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Hypertensive heart disease without HF (heart failure),11,,,,,,,,,,,,,,,,,,
